,gender,age,occupation,interest,purchase,products,money_spent,fashion_segments,customer_decision:_price,customer_decision:_style,customer_decision:_quality,customer_decision:_brand,customer_decision:_comfort,customer_decision:_sustainability,brand_familiarity:_ausweichoption_(negativ)_oder_anzahl_ausgewählter_optionen,brand_familiarity:_zara,brand_familiarity:_h&m,brand_familiarity:_adidas,brand_familiarity:_patagonia,brand_familiarity:_uniqlo,brand_familiarity:_weekday,brand_familiarity:_all_of_them,interest.1,industries,information,price_relevance,sustainable_option,transparency,recycle_:_ausweichoption_(negativ)_oder_anzahl_ausgewählter_optionen,recycle_:_recycling/upcycling_of_clothing,recycle_:_purchasing_second-hand/vintage_clothing,recycle_:_purchasing_sustainable_clothing,recycle_:_none,sustainable_brands:_[01],preference,budget
2,2,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,timbaland,1.0,5.0
3,1,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,patagonia,2.0,5.0
4,1,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,other,1.0,3.0
5,1,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,patagonia,1.0,4.0
6,2,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,other,2.0,3.0
7,2,2.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,other,1.0,5.0
8,2,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,other,1.0,4.0
9,1,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,other,1.0,4.0
10,1,2.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,other,1.0,5.0
11,1,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,blue seven,5.0,5.0
12,1,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,other,2.0,4.0
13,1,2.0,5.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,other,1.0,4.0
14,2,2.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,other,1.0,4.0
15,"1,3,3,1,2,3,1,2,1,3,1,3,1,3,3,2,2,2,1,1,1,1,3,1,2,3,1,6,1,2,2,2,1,1,""Nike , Adidas, New balance"",1,4,,,,,,,,,,,,",109.0,70.0,152.0,127.0,79.0,96.0,76.0,88.0,93.0,83.0,77.0,86.0,84.0,62.0,137.0,132.0,126.0,126.0,127.0,174.0,164.0,101.0,66.0,116.0,80.0,85.0,141.0,119.0,103.0,104.0,134.0,169.0,other,60.0,75.0
16,2,3.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,other,1.0,4.0
17,1,2.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,other,1.0,5.0
18,1,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,resales,4.0,5.0
19,1,2.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,other,2.0,5.0
20,2,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,other,3.0,4.0
21,2,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,nike,5.0,3.0
22,1,3.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,other,1.0,3.0
